,code,name
0,A305720,"('KODEX 2차전지산업', 'technology,manufacturing')"
1,A091180,"('KODEX 자동차', 'technology,manufacturing')"
2,A228800,"('TIGER 여행레저', 'retail')"
3,A161510,"('ARIRANG 고배당주', 'high-dividend')"
4,A150460,"('TIGER 중국소비테마', 'china,retail')"
5,A228810,"('TIGER 미디어컨텐츠', 'retail')"
6,A139220,"('TIGER 200 건설', 'utilities')"
7,A117680,"('KODEX 철강', 'commodity')"
8,A174350,"('TIGER 로우볼', 'volatility')"
9,A244670,"('KODEX 밸류Plus', 'value')"
10,A322150,"('KINDEX 스마트하이베타', 'factor-model')"
11,A337120,"('KODEX Fn멀티팩터', 'factor-model')"
12,A147970,"('TIGER 모멘텀', 'momentum')"
13,A243880,"('TIGER 200IT레버리지', 'leverage,technology')"
14,A153130,"('KODEX 단기채권', 'bond')"
15,A148070,"('KOSEF 국고채10년', 'bond')"
16,A332620,"('ARIRANG 미국장기우량회사채', 'US,bond')"
17,A182490,"('TIGER 단기선진하이일드(합성 H)', 'global,high-yield')"
18,A292770,"('KODEX 국채선물3년인버스', 'inverse,bond')"
19,A123310,"('TIGER 인버스', 'inverse')"
20,A292340,"('마이티 200커버드콜ATM레버리지', 'option,leverage')"
21,A166400,"('TIGER 200커버드콜5%OTM', 'option')"
22,A271050,"('KODEX WTI원유선물인버스(H)', 'commodity,inverse')"
23,A132030,"('KODEX 골드선물(H)', 'commodity')"
24,A138910,"('KODEX 구리선물(H)', 'commodity')"
25,A316300,"('KINDEX 싱가포르리츠', 'singapore,real-estate')"
26,A352560,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')"
27,A250780,"('TIGER 코스닥150선물인버스', 'inverse')"
28,A295020,"('KBSTAR 국채선물10년인버스', 'inverse,bond')"
29,A217780,"('TIGER 차이나CSI300인버스(합성)', 'china,inverse')"
30,A225030,"('TIGER 미국S&P500선물인버스(H)', 'US,inverse')"
31,A373530,"('ARIRANG 신흥국MSCI인버스(합성 H)', 'emerging-market,inverse')"
32,A280940,"('KODEX 골드선물인버스(H)', 'commodity,inverse')"
